time,stl1Mean,stl2Mean,stl3Mean,stl4Mean,SKTMean,depth1,srcMean,T2mMean,swl1Mean,swl2Mean,swl3Mean,swl4Mean,TPMean,time,depth2,depth3,depth4
2019/4/27,-1.1264375,-1.3523925,-1.3361875,-0.698215,-4.0570225,7,3.43E-05,-3.720285,0.407348633,0.373424533,0.337768553,0.380535125,0.000642371,1,21,72,189
2019/4/28,-0.454505,-1.04606,-1.3509675,-0.7038325,-2.050995,7,2.71E-05,-2.7977075,0.405342103,0.374771115,0.338546753,0.38056183,0.000203295,1,21,72,189
2019/4/29,1.1877625,-0.18473,-1.22175,-0.7073125,2.3296475,7,4.85E-05,-0.5766975,0.403453828,0.381561283,0.339298248,0.38059235,0.001294558,1,21,72,189
2019/4/30,0.8129225,0.2846,-0.9631725,-0.702825,-1.341295,7,5.76E-05,-2.404915,0.402172092,0.388793945,0.340282442,0.380634308,0.00389084,1,21,72,189
2019/5/1,1.76727,0.48397,-0.7649925,-0.691505,2.2715725,7,3.31E-05,0.913965,0.40336609,0.393875123,0.341476438,0.3806839,0.001516707,1,21,72,189
2019/5/2,1.4077375,0.753685,-0.59092,-0.672365,-2.1505525,7,2.11E-05,-2.8632,0.395198817,0.393936155,0.343170165,0.380744932,0.004459387,1,21,72,189
2019/5/3,0.6261225,0.5707975,-0.487125,-0.6497825,-8.494825,7,1.57E-05,-5.142065,0.39293289,0.391151428,0.344524382,0.38082123,0.002257197,1,21,72,189
2019/5/4,0.41455,0.294975,-0.44517,-0.625345,-5.02222,7,2.61E-05,-5.348635,0.397556308,0.390911103,0.345352173,0.38089752,0.000665029,1,21,72,189
2019/5/5,0.41677,0.2463275,-0.426125,-0.6016025,-6.2336925,7,1.86E-05,-5.7034625,0.39816284,0.39240265,0.34604263,0.38098526,0.000275871,1,21,72,189
2019/5/6,1.056545,0.3747475,-0.4105625,-0.57856,-0.0906575,7,1.89E-05,-1.6085875,0.40316772,0.395729068,0.346805573,0.38106537,0.000403361,1,21,72,189
2019/5/7,0.2979975,0.4155825,-0.37031,-0.5547275,-6.953675,7,2.41E-05,-3.7157075,0.39969635,0.396430968,0.348064422,0.381156923,0.004167672,1,21,72,189
2019/5/8,0.29446,0.18975,-0.35871,-0.531655,-5.338465,7,2.24E-05,-1.1343125,0.408210752,0.398628235,0.348922725,0.38125992,0.001143925,1,21,72,189
2019/5/9,1.22665,0.4347775,-0.34711,-0.50953,0.0493725,7,2.30E-05,-0.083475,0.408740998,0.404136652,0.350143433,0.381359105,0.000333928,1,21,72,189
2019/5/10,2.1144075,0.9277575,-0.2924275,-0.48716,2.12954,7,1.76E-05,0.7687025,0.40289688,0.402729028,0.35248947,0.38146973,0.000495991,1,21,72,189
2019/5/11,2.9067325,1.36517,-0.2132925,-0.462715,1.703825,7,1.66E-05,0.6942975,0.393985745,0.396873478,0.354862213,0.381587983,0.000117452,1,21,72,189
2019/5/12,3.815395,1.778495,-0.1253975,-0.437105,4.7287825,7,1.64E-05,4.1101325,0.380676273,0.389564513,0.35651779,0.381713868,6.43E-07,1,21,72,189
2019/5/13,3.477285,2.16329,-0.024695,-0.409705,4.1353125,7,5.18E-05,0.86495,0.37322235,0.382606508,0.357547763,0.381839753,0.003319617,1,21,72,189
2019/5/14,2.63351,2.0144925,0.074185,-0.38001,-2.03632,7,7.30E-05,-2.73859,0.38429642,0.380393983,0.3582077,0.381980895,0.004558635,1,21,72,189
2019/5/15,2.42586,1.8868625,0.1432725,-0.3490975,-0.4059225,7,4.30E-05,-1.398295,0.391746518,0.38269806,0.358848573,0.382122038,0.001100846,1,21,72,189
2019/5/16,3.141625,2.1018925,0.2035775,-0.3179075,2.585415,7,4.64E-05,2.0643525,0.393573758,0.38507843,0.359657285,0.382266995,0.000221748,1,21,72,189
